signature,level,weight,newform_index,newform_label,prime,coefficient,coefficient_field,coefficient_field_kind,is_rational_integer,reduction_mod_5_available,coefficient_mod_5,prime_above_5_metadata,row_status
5-4-5,200,2,2,q + O(q^6),61,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,200,2,3,q + 2*q^3 + O(q^6),3,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,3,q + 2*q^3 + O(q^6),13,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,200,2,3,q + 2*q^3 + O(q^6),17,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,3,q + 2*q^3 + O(q^6),41,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,3,q + 2*q^3 + O(q^6),61,-10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,4,q + 3*q^3 + O(q^6),3,3,Rational Field,rational_integer,True,True,3,,completed
5-4-5,200,2,4,q + 3*q^3 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,200,2,4,q + 3*q^3 + O(q^6),17,-5,Rational Field,rational_integer,True,True,0,,completed
5-4-5,200,2,4,q + 3*q^3 + O(q^6),41,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,200,2,4,q + 3*q^3 + O(q^6),61,10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,44,2,0,q + q^3 - 3*q^5 + O(q^6),3,1,Rational Field,rational_integer,True,True,1,,completed
5-4-5,44,2,0,q + q^3 - 3*q^5 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,44,2,0,q + q^3 - 3*q^5 + O(q^6),17,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,44,2,0,q + q^3 - 3*q^5 + O(q^6),41,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,44,2,0,q + q^3 - 3*q^5 + O(q^6),61,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,110,2,0,q - q^2 + q^3 + q^4 - q^5 + O(q^6),3,1,Rational Field,rational_integer,True,True,1,,completed
5-4-5,110,2,0,q - q^2 + q^3 + q^4 - q^5 + O(q^6),13,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,110,2,0,q - q^2 + q^3 + q^4 - q^5 + O(q^6),17,3,Rational Field,rational_integer,True,True,3,,completed
5-4-5,110,2,0,q - q^2 + q^3 + q^4 - q^5 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,110,2,0,q - q^2 + q^3 + q^4 - q^5 + O(q^6),61,-1,Rational Field,rational_integer,True,True,4,,completed
5-4-5,110,2,1,q + q^2 - q^3 + q^4 + q^5 + O(q^6),3,-1,Rational Field,rational_integer,True,True,4,,completed
5-4-5,110,2,1,q + q^2 - q^3 + q^4 + q^5 + O(q^6),13,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,110,2,1,q + q^2 - q^3 + q^4 + q^5 + O(q^6),17,-7,Rational Field,rational_integer,True,True,3,,completed
5-4-5,110,2,1,q + q^2 - q^3 + q^4 + q^5 + O(q^6),41,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,110,2,1,q + q^2 - q^3 + q^4 + q^5 + O(q^6),61,7,Rational Field,rational_integer,True,True,2,,completed
5-4-5,110,2,2,q + q^2 + q^3 + q^4 - q^5 + O(q^6),3,1,Rational Field,rational_integer,True,True,1,,completed
5-4-5,110,2,2,q + q^2 + q^3 + q^4 - q^5 + O(q^6),13,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,110,2,2,q + q^2 + q^3 + q^4 - q^5 + O(q^6),17,-3,Rational Field,rational_integer,True,True,2,,completed
5-4-5,110,2,2,q + q^2 + q^3 + q^4 - q^5 + O(q^6),41,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,110,2,2,q + q^2 + q^3 + q^4 - q^5 + O(q^6),61,5,Rational Field,rational_integer,True,True,0,,completed
5-4-5,110,2,3,q - q^2 + (a3 + 1)*q^3 + q^4 + q^5 + O(q^6),3,a3 + 1,Number Field in a3 with defining polynomial x^2 + 3*x - 6,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,110,2,3,q - q^2 + (a3 + 1)*q^3 + q^4 + q^5 + O(q^6),13,2,Number Field in a3 with defining polynomial x^2 + 3*x - 6,number_field,True,True,2,,completed
5-4-5,110,2,3,q - q^2 + (a3 + 1)*q^3 + q^4 + q^5 + O(q^6),17,-a3 - 3,Number Field in a3 with defining polynomial x^2 + 3*x - 6,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,110,2,3,q - q^2 + (a3 + 1)*q^3 + q^4 + q^5 + O(q^6),41,4*a3 + 6,Number Field in a3 with defining polynomial x^2 + 3*x - 6,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,110,2,3,q - q^2 + (a3 + 1)*q^3 + q^4 + q^5 + O(q^6),61,a3 - 1,Number Field in a3 with defining polynomial x^2 + 3*x - 6,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,0,q - q^5 + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,0,q - q^5 + O(q^6),13,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,0,q - q^5 + O(q^6),17,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,0,q - q^5 + O(q^6),41,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,440,2,0,q - q^5 + O(q^6),61,10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,1,q - q^5 + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,1,q - q^5 + O(q^6),13,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,440,2,1,q - q^5 + O(q^6),17,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,440,2,1,q - q^5 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,440,2,1,q - q^5 + O(q^6),61,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,440,2,2,q + q^5 + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,2,q + q^5 + O(q^6),13,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,440,2,2,q + q^5 + O(q^6),17,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,440,2,2,q + q^5 + O(q^6),41,10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,440,2,2,q + q^5 + O(q^6),61,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,440,2,3,q + 3*q^3 + q^5 + O(q^6),3,3,Rational Field,rational_integer,True,True,3,,completed
5-4-5,440,2,3,q + 3*q^3 + q^5 + O(q^6),13,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,440,2,3,q + 3*q^3 + q^5 + O(q^6),17,3,Rational Field,rational_integer,True,True,3,,completed
5-4-5,440,2,3,q + 3*q^3 + q^5 + O(q^6),41,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,440,2,3,q + 3*q^3 + q^5 + O(q^6),61,1,Rational Field,rational_integer,True,True,1,,completed
5-4-5,440,2,4,q - a4*q^3 + q^5 + O(q^6),3,-a4,Number Field in a4 with defining polynomial x^2 - x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,4,q - a4*q^3 + q^5 + O(q^6),13,2,Number Field in a4 with defining polynomial x^2 - x - 4,number_field,True,True,2,,completed
5-4-5,440,2,4,q - a4*q^3 + q^5 + O(q^6),17,-a4 + 2,Number Field in a4 with defining polynomial x^2 - x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,4,q - a4*q^3 + q^5 + O(q^6),41,2,Number Field in a4 with defining polynomial x^2 - x - 4,number_field,True,True,2,,completed
5-4-5,440,2,4,q - a4*q^3 + q^5 + O(q^6),61,-3*a4 + 10,Number Field in a4 with defining polynomial x^2 - x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,5,q + 1/2*a5*q^3 - q^5 + O(q^6),3,1/2*a5,Number Field in a5 with defining polynomial x^2 - 2*x - 16,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,5,q + 1/2*a5*q^3 - q^5 + O(q^6),13,a5,Number Field in a5 with defining polynomial x^2 - 2*x - 16,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,5,q + 1/2*a5*q^3 - q^5 + O(q^6),17,-1/2*a5 + 4,Number Field in a5 with defining polynomial x^2 - 2*x - 16,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,5,q + 1/2*a5*q^3 - q^5 + O(q^6),41,-10,Number Field in a5 with defining polynomial x^2 - 2*x - 16,number_field,True,True,0,,completed
5-4-5,440,2,5,q + 1/2*a5*q^3 - q^5 + O(q^6),61,1/2*a5 - 2,Number Field in a5 with defining polynomial x^2 - 2*x - 16,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,6,q - a6*q^3 - q^5 + O(q^6),3,-a6,Number Field in a6 with defining polynomial x^2 + x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,6,q - a6*q^3 - q^5 + O(q^6),13,2*a6 + 4,Number Field in a6 with defining polynomial x^2 + x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,6,q - a6*q^3 - q^5 + O(q^6),17,3*a6,Number Field in a6 with defining polynomial x^2 + x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,6,q - a6*q^3 - q^5 + O(q^6),41,4*a6 - 2,Number Field in a6 with defining polynomial x^2 + x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,440,2,6,q - a6*q^3 - q^5 + O(q^6),61,a6 - 10,Number Field in a6 with defining polynomial x^2 + x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,0,q - 2*q^3 + O(q^6),3,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,1100,2,0,q - 2*q^3 + O(q^6),13,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,1100,2,0,q - 2*q^3 + O(q^6),17,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,1100,2,0,q - 2*q^3 + O(q^6),41,-10,Rational Field,rational_integer,True,True,0,,completed
5-4-5,1100,2,0,q - 2*q^3 + O(q^6),61,-14,Rational Field,rational_integer,True,True,1,,completed
5-4-5,1100,2,1,q - q^3 + O(q^6),3,-1,Rational Field,rational_integer,True,True,4,,completed
5-4-5,1100,2,1,q - q^3 + O(q^6),13,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,1100,2,1,q - q^3 + O(q^6),17,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,1100,2,1,q - q^3 + O(q^6),41,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,1100,2,1,q - q^3 + O(q^6),61,-4,Rational Field,rational_integer,True,True,1,,completed
5-4-5,1100,2,2,q + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,1100,2,2,q + O(q^6),13,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,1100,2,2,q + O(q^6),17,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,1100,2,2,q + O(q^6),41,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,1100,2,2,q + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,1100,2,3,q + O(q^6),3,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,1100,2,3,q + O(q^6),13,-6,Rational Field,rational_integer,True,True,4,,completed
5-4-5,1100,2,3,q + O(q^6),17,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,1100,2,3,q + O(q^6),41,-2,Rational Field,rational_integer,True,True,3,,completed
5-4-5,1100,2,3,q + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,1100,2,4,q + 2*q^3 + O(q^6),3,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,1100,2,4,q + 2*q^3 + O(q^6),13,4,Rational Field,rational_integer,True,True,4,,completed
5-4-5,1100,2,4,q + 2*q^3 + O(q^6),17,0,Rational Field,rational_integer,True,True,0,,completed
5-4-5,1100,2,4,q + 2*q^3 + O(q^6),41,6,Rational Field,rational_integer,True,True,1,,completed
5-4-5,1100,2,4,q + 2*q^3 + O(q^6),61,2,Rational Field,rational_integer,True,True,2,,completed
5-4-5,1100,2,5,q + a5*q^3 + O(q^6),3,a5,Number Field in a5 with defining polynomial x^2 + 3*x - 1,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,5,q + a5*q^3 + O(q^6),13,-2*a5 - 1,Number Field in a5 with defining polynomial x^2 + 3*x - 1,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,5,q + a5*q^3 + O(q^6),17,-a5 - 4,Number Field in a5 with defining polynomial x^2 + 3*x - 1,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,5,q + a5*q^3 + O(q^6),41,4*a5 + 7,Number Field in a5 with defining polynomial x^2 + 3*x - 1,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,5,q + a5*q^3 + O(q^6),61,a5 + 3,Number Field in a5 with defining polynomial x^2 + 3*x - 1,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,6,q + a6*q^3 + O(q^6),3,a6,Number Field in a6 with defining polynomial x^2 + x - 5,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,6,q + a6*q^3 + O(q^6),13,-1,Number Field in a6 with defining polynomial x^2 + x - 5,number_field,True,True,4,,completed
5-4-5,1100,2,6,q + a6*q^3 + O(q^6),17,-a6 - 2,Number Field in a6 with defining polynomial x^2 + x - 5,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,6,q + a6*q^3 + O(q^6),41,-2*a6 - 7,Number Field in a6 with defining polynomial x^2 + x - 5,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,6,q + a6*q^3 + O(q^6),61,a6 + 7,Number Field in a6 with defining polynomial x^2 + x - 5,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (a6 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,7,q - 1/2*a7*q^3 + O(q^6),3,-1/2*a7,Number Field in a7 with defining polynomial x^2 + 2*x - 20,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,7,q - 1/2*a7*q^3 + O(q^6),13,1,Number Field in a7 with defining polynomial x^2 + 2*x - 20,number_field,True,True,1,,completed
5-4-5,1100,2,7,q - 1/2*a7*q^3 + O(q^6),17,1/2*a7 + 2,Number Field in a7 with defining polynomial x^2 + 2*x - 20,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,7,q - 1/2*a7*q^3 + O(q^6),41,-a7 - 7,Number Field in a7 with defining polynomial x^2 + 2*x - 20,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,7,q - 1/2*a7*q^3 + O(q^6),61,1/2*a7 + 7,Number Field in a7 with defining polynomial x^2 + 2*x - 20,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (1/2*a7 + 1)""}]",coefficient_field_unclear
5-4-5,1100,2,8,q + 1/2*a8*q^3 + O(q^6),3,1/2*a8,Number Field in a8 with defining polynomial x^2 - 6*x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,8,q + 1/2*a8*q^3 + O(q^6),13,-a8 + 1,Number Field in a8 with defining polynomial x^2 - 6*x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,8,q + 1/2*a8*q^3 + O(q^6),17,-1/2*a8 + 4,Number Field in a8 with defining polynomial x^2 - 6*x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,8,q + 1/2*a8*q^3 + O(q^6),41,-2*a8 + 7,Number Field in a8 with defining polynomial x^2 - 6*x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,8,q + 1/2*a8*q^3 + O(q^6),61,-1/2*a8 + 3,Number Field in a8 with defining polynomial x^2 - 6*x - 4,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5)""}]",coefficient_field_unclear
5-4-5,1100,2,9,q + 1/2*a9*q^3 + O(q^6),3,1/2*a9,Number Field in a9 with defining polynomial x^4 - 44*x^2 + 256,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 + 1)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 - 1)""}]",coefficient_field_unclear
5-4-5,1100,2,9,q + 1/2*a9*q^3 + O(q^6),13,-1/16*a9^3 + 11/4*a9,Number Field in a9 with defining polynomial x^4 - 44*x^2 + 256,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 + 1)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 - 1)""}]",coefficient_field_unclear
5-4-5,1100,2,9,q + 1/2*a9*q^3 + O(q^6),17,1/16*a9^3 - 7/4*a9,Number Field in a9 with defining polynomial x^4 - 44*x^2 + 256,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 + 1)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 - 1)""}]",coefficient_field_unclear
5-4-5,1100,2,9,q + 1/2*a9*q^3 + O(q^6),41,1/2*a9^2 - 10,Number Field in a9 with defining polynomial x^4 - 44*x^2 + 256,number_field,False,False,,"[{""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 + 1)""}, {""error"": ""too many values to unpack (expected 2)"", ""prime_above_5"": ""Fractional ideal (5, 1/16*a9^3 - 5/4*a9 - 1)""}]",coefficient_field_unclear
