signature,level,newform_index,newform_label,prime,newform_coefficient,frey_trace_values,comparison_mode,filter_classification,is_first_eliminating_prime,all_eliminating_primes,provenance_label,contradiction_claim_allowed
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),71,-12,-16;-12;-8;-4;0;4;8;12;16,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),73,-16,-14;-10;-6;-2;2;6;10;14,mod_5,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),79,8,-16;-12;-8;-4;0;4;8;12;16,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),83,0,-16;-12;-8;-4;0;4;8;12;16,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),89,6,-18;-14;-10;-6;-2;2;6;10;14;18,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,0,q - 2*q^3 + q^5 + O(q^6),97,14,-18;-14;-10;-6;-2;2;6;10;14;18,exact,survives,False,3;17;41;61,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),3,2,0,mod_5,eliminated,True,3;13,eliminating_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),7,0,-4;0;4,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),13,0,-6;-2;2;6,mod_5,eliminated,False,3;13,eliminating_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),17,-4,-6;-2;2;6,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),19,-4,-8;-4;0;4;8,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),23,6,-8;-4;0;4;8,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),29,2,-10;-6;-2;2;6;10,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),31,0,-8;-4;0;4;8,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),37,-6,-10;-6;-2;2;6;10,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),41,-10,-6;2;10,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),43,4,-12;-8;-4;0;4;8;12,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),47,10,-12;-8;-4;0;4;8;12,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),53,2,-14;-10;-6;-2;2;6;10;14,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),59,-4,-12;-8;-4;0;4;8;12,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),61,-14,-2;6;10;14,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),67,2,-16;-12;-8;-4;0;4;8;12;16,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),71,4,-16;-12;-8;-4;0;4;8;12;16,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),73,-4,-14;-10;-6;-2;2;6;10;14,mod_5,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),79,-8,-16;-12;-8;-4;0;4;8;12;16,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),83,12,-16;-12;-8;-4;0;4;8;12;16,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),89,6,-18;-14;-10;-6;-2;2;6;10;14;18,exact,survives,False,3;13,surviving_comparison,False
5-4-5,220,1,q + 2*q^3 + q^5 + O(q^6),97,6,-18;-14;-10;-6;-2;2;6;10;14;18,exact,survives,False,3;13,surviving_comparison,False
