signature,rank,level,factorization,includes_11,conductor_plausibility_score,conductor_plausibility_label,newform_count,level_trace_label,surviving_newforms,first_eliminators,coefficient_field_status,trace_strength_score,coefficient_field_score,human_review_priority_score,aggregate_route_label,route_ceiling_label,reason
5-4-5,13,44,2^2 * 11,True,6,plausible_with_11,1,level_survivor_exists,newform_0,,all_clear,2,3,10,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,14,22,2 * 11,True,5,plausible_with_11,0,level_trace_mismatch_candidate,,,no_coefficients,4,0,9,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,15,11,11,True,4,exploratory_low_bad_prime_support,1,level_survivor_exists,newform_0,,all_clear,2,3,8,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,16,200,2^3 * 5^2,False,6,plausible_without_11,5,level_survivor_exists,newform_2,newform_0:q=3;newform_1:q=3;newform_3:q=3;newform_4:q=3,all_clear,2,3,7,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,17,55,5 * 11,True,5,plausible_with_11,2,level_survivor_exists,newform_0,newform_1:q=41,mixed_or_unclear,2,1,6,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,18,88,2^3 * 11,True,5,plausible_with_11,2,level_survivor_exists,newform_1,newform_0:q=3,mixed_or_unclear,2,1,6,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,19,110,2 * 5 * 11,True,6,plausible_with_11,4,level_survivor_exists,newform_1;newform_2;newform_3,newform_0:q=41,mixed_or_unclear,2,1,5,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,20,440,2^3 * 5 * 11,True,6,plausible_with_11,7,level_survivor_exists,newform_2;newform_4;newform_5,newform_0:q=13;newform_1:q=41;newform_3:q=3,mixed_or_unclear,2,1,4,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,21,1100,2^2 * 5^2 * 11,True,6,plausible_with_11,10,level_survivor_exists,newform_1;newform_2;newform_3;newform_6;newform_7,newform_0:q=3;newform_4:q=3,mixed_or_unclear,2,1,4,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,22,550,2 * 5^2 * 11,True,5,plausible_with_11,14,level_survivor_exists,newform_3;newform_4;newform_5;newform_9;newform_13,newform_0:q=3;newform_1:q=3;newform_2:q=3;newform_6:q=3;newform_7:q=3;newform_8:q=41;newform_10:q=3;newform_11:q=3;newform_12:q=3,mixed_or_unclear,2,1,3,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,23,2200,2^3 * 5^2 * 11,True,5,plausible_with_11,25,level_survivor_exists,newform_4;newform_12;newform_14;newform_18;newform_20;newform_21;newform_23;newform_24,newform_0:q=3;newform_1:q=3;newform_2:q=3;newform_3:q=13;newform_5:q=13;newform_6:q=41;newform_7:q=13;newform_8:q=3;newform_9:q=3;newform_10:q=3,mixed_or_unclear,2,1,3,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
5-4-5,24,275,5^2 * 11,True,4,plausible_with_11,8,level_survivor_exists,newform_0;newform_1;newform_3;newform_6,newform_2:q=41;newform_4:q=13;newform_5:q=13;newform_7:q=13,mixed_or_unclear,2,1,2,level_sensitive_route,worth_human_modular_review,At least one plausible candidate level has surviving newforms or branches.
